name,start_time,finish_time,duration,executed_at
HostTopologyShuffle,0.0,60.66754313573546,60.66754313573546,network
CompleteTopologyShuffle,90.71557526741196,161.1816290618139,70.46605379440194,network
HostTopologyShuffle,182.1581797290572,242.60084145640258,60.44266172734538,network
PortShuffle,212.65657428283458,247.70491461446858,35.048340331633995,application
CompleteTopologyShuffle,243.33714976608337,313.83141140343326,70.4942616373499,network
HostTopologyShuffle,334.40264810139314,395.2784047005703,60.87575659917718,network
CompleteTopologyShuffle,396.9143258522849,466.95711537987034,70.04278952758546,network
IPShuffle,487.76889032577947,538.2949267798018,50.526036454022346,network
HostTopologyShuffle,548.0435549327802,608.8373736540963,60.79381872131603,network
IPShuffle,609.8226032038059,661.1823335394014,51.359730335595486,network
HostTopologyShuffle,670.3443943594023,732.3222899440352,61.97789558463296,network
PortShuffle,700.5561106859965,736.045338580951,35.489227894954524,application
IPShuffle,761.9636118190997,813.7684414178304,51.80482959873075,network
IPShuffle,823.5263241525267,874.0021069140078,50.475782761481014,network
HostTopologyShuffle,885.4413841534666,945.6613028948743,60.219918741407696,network
CompleteTopologyShuffle,946.0883721018992,1016.5231837100547,70.43481160815554,network
HostTopologyShuffle,1037.461105950436,1097.563881551343,60.10277560090708,network
PortShuffle,1067.828912443773,1102.9587053802095,35.12979293643639,application
IPShuffle,1098.4849873509436,1148.570149812343,50.08516246139948,network
HostTopologyShuffle,1160.1277330724695,1220.448652938463,60.320919865993574,network
IPShuffle,1221.1795702727104,1271.7253532312866,50.54578295857618,network
IPShuffle,1281.3448934181317,1331.4580089921062,50.11311557397448,network
CompleteTopologyShuffle,1342.1546547736723,1413.1938127421492,71.03915796847696,network
CompleteTopologyShuffle,1432.7232387620697,1504.541325245549,71.81808648347919,network
CompleteTopologyShuffle,1525.4233948264455,1597.5666116226864,72.14321679624095,network
CompleteTopologyShuffle,1617.3894078466474,1687.480437568639,70.09102972199162,network
HostTopologyShuffle,1708.3549053886384,1768.6997883258011,60.344882937162765,network
CompleteTopologyShuffle,1769.1544869473069,1839.555624866942,70.40113791963518,network
HostTopologyShuffle,1859.7593037000527,1921.2701586604448,61.51085496039218,network
