name,start_time,finish_time,duration
CompleteTopologyShuffle,0.0,70.14058052175902,70.14058052175902
UserShuffle,120.5943137496617,130.7807004733411,10.18638672367942
CompleteTopologyShuffle,90.08902093780259,160.4808219414275,70.39180100362492
HostTopologyShuffle,182.87146859154078,223.16136502810699,40.28989643656621
UserShuffle,213.16551551946944,223.5598782883963,10.394362768926868
HostTopologyShuffle,243.5041000123832,283.61411956822786,40.11001955584467
CompleteTopologyShuffle,303.93402525368435,374.08891632014286,70.1548910664585
serviceDiversity,335.73006971157287,376.95183767171784,41.22176796014497
PortShuffle,397.05949958018795,437.3647490806204,40.30524950043247
IPShuffle,428.96785593042955,479.13000229244267,50.16214636201312
HostTopologyShuffle,490.4224499863418,531.2257926702333,40.803342683891515
UserShuffle,521.0177814407451,531.4222253784995,10.404443937754422
CompleteTopologyShuffle,551.0450207070603,621.4460408151848,70.4010201081245
IPShuffle,643.4794124712064,694.531159646581,51.05174717537466
serviceDiversity,673.8683944953711,714.1819410113432,40.31354651597201
IPShuffle,706.2608284222622,756.5448602503657,50.28403182810348
IPShuffle,767.7705026836801,818.0811470229077,50.310644339227565
IPShuffle,830.3395725259161,880.6213381299178,50.28176560400175
PortShuffle,860.6225729416534,901.1412310684842,40.518658126830815
serviceDiversity,922.8149159066957,963.633829479265,40.818913572569386
PortShuffle,984.4668778468115,1025.44444207339,40.97756422657858
serviceDiversity,1044.8306843048279,1084.8327800994227,40.00209579459488
serviceDiversity,1105.159032980009,1145.5319098004018,40.372876820392776
UserShuffle,1165.7997496923342,1176.0041254500352,10.204375757700973
IPShuffle,1135.1880074254696,1185.2640826700256,50.07607524455602
UserShuffle,1196.6045313373613,1207.0094815071454,10.404950169784115
HostTopologyShuffle,1227.0866319871782,1267.5556724469761,40.46904045979795
IPShuffle,1287.6897237626063,1338.3303490434675,50.640625280861286
HostTopologyShuffle,1347.884394865615,1388.257788430307,40.37339356469215
osdiversity,1378.2148483795152,1408.337736190209,30.122887810693783
UserShuffle,1408.3161020184773,1419.4654017841433,11.149299765666001
UserShuffle,1438.4686857037866,1449.5049379753489,11.036252271562262
PortShuffle,1468.5156282430298,1508.84078454593,40.32515630290027
