name,start_time,finish_time,duration,executed_at
PortShuffle,0.0,35.02848659675514,35.02848659675514,application
HostTopologyShuffle,30.20477072426297,90.90539532506091,60.70062460079794,network
IPShuffle,90.934504956431,141.97699710531145,51.042492148880456,network
PortShuffle,121.4639058188134,157.370586623363,35.90668080454961,application
HostTopologyShuffle,152.27691471277214,212.73299779055327,60.45608307778113,network
CompleteTopologyShuffle,242.55207120629683,312.7540312870466,70.20196008074976,network
CompleteTopologyShuffle,334.44671910962916,404.94547270745346,70.4987535978243,network
IPShuffle,425.3286064719552,476.48276850477373,51.15416203281853,network
IPShuffle,486.36152553527734,536.6756780714429,50.31415253616558,network
IPShuffle,547.2017962318297,597.2378458553678,50.03604962353813,network
HostTopologyShuffle,608.7126704528662,669.5097152992646,60.79704484639842,network
CompleteTopologyShuffle,669.8016667331405,740.0416643118931,70.23999757875265,network
PortShuffle,791.2695617231398,826.6922313765506,35.42266965341082,application
CompleteTopologyShuffle,761.1644940731795,831.8982975787557,70.73380350557613,network
PortShuffle,852.3897612911677,887.7361206629495,35.34635937178177,application
IPShuffle,882.6238208389541,933.5262028864433,50.902382047489255,network
PortShuffle,912.7444106729594,948.7722871863959,36.02787651343658,application
CompleteTopologyShuffle,942.768489088194,1012.8762532444434,70.10776415624946,network
HostTopologyShuffle,1033.6509820283427,1093.8127760299951,60.161794001652424,network
CompleteTopologyShuffle,1094.2755448497317,1165.3214391551599,71.04589430542819,network
HostTopologyShuffle,1185.4422678592273,1245.5149284378783,60.07266057865104,network
CompleteTopologyShuffle,1245.560625529694,1316.501358967089,70.94073343739478,network
CompleteTopologyShuffle,1337.3805483854878,1407.753645572335,70.37309718684719,network
CompleteTopologyShuffle,1428.9315790177416,1499.0226056252516,70.09102660751,network
HostTopologyShuffle,1519.2601759900388,1579.2852471997799,60.0250712097411,network
HostTopologyShuffle,1581.8028307173336,1643.8821193236095,62.079288606275895,network
PortShuffle,1612.2620439225902,1647.4965771921325,35.234533269542226,application
IPShuffle,1673.8760575000836,1724.2542394013346,50.37818190125108,network
HostTopologyShuffle,1734.5014171111318,1794.6256123373964,60.124195226264646,network
PortShuffle,1764.8762930048588,1800.5485331037128,35.67224009885399,application
HostTopologyShuffle,1795.040771210435,1855.289569619642,60.248798409206984,network
PortShuffle,1885.5380301046657,1921.3841552570793,35.846125152413606,application
CompleteTopologyShuffle,1855.295224450061,1925.4790958751187,70.18387142505776,network
CompleteTopologyShuffle,1945.93767097742,2017.2572775757774,71.31960659835727,network
IPShuffle,2037.8616808959835,2088.2302748462475,50.368593950264085,network
CompleteTopologyShuffle,2098.743939887945,2169.227671600167,70.48373171222192,network
HostTopologyShuffle,2191.1550895004516,2251.796599410112,60.64150990966027,network
PortShuffle,2282.385294564469,2317.6105111403604,35.22521657589141,application
CompleteTopologyShuffle,2252.158615675061,2322.3212627674425,70.16264709238158,network
HostTopologyShuffle,2342.6949814755053,2403.5426884283333,60.84770695282805,network
PortShuffle,2373.1888866274785,2408.4070928819892,35.21820625451073,application
PortShuffle,2434.01454962525,2469.9448191177985,35.93026949254863,application
CompleteTopologyShuffle,2464.4141462059283,2535.772836712088,71.35869050615975,network
HostTopologyShuffle,2556.4108707874407,2616.933796513803,60.522925726362246,network
IPShuffle,2647.033393158666,2697.2731356191903,50.23974246052421,network
CompleteTopologyShuffle,2708.84869683183,2779.4023837495724,70.55368691774265,network
IPShuffle,2800.235841377603,2850.4631317978196,50.22729042021683,network
HostTopologyShuffle,2860.6669855015916,2920.8465728567285,60.179587355136846,network
CompleteTopologyShuffle,2923.1021702927605,2993.2213879510455,70.11921765828492,network
IPShuffle,3015.469569894591,3065.4822491080554,50.01267921346425,network
CompleteTopologyShuffle,3076.2943586609954,3147.020869133908,70.72651047291265,network
CompleteTopologyShuffle,3168.5862159228463,3239.2003063449397,70.61409042209334,network
IPShuffle,3259.8769525652933,3310.1229963060478,50.24604374075443,network
IPShuffle,3322.349654678958,3372.8634672292237,50.51381255026581,network
PortShuffle,3352.419892820149,3387.709290129372,35.289397309223205,application
CompleteTopologyShuffle,3382.4606407064457,3453.613563922618,71.15292321617244,network
IPShuffle,3473.791430493595,3525.6430458617506,51.85161536815576,network
CompleteTopologyShuffle,3534.4753913416143,3604.627260997978,70.15186965636349,network
IPShuffle,3626.601280157188,3677.1566096584074,50.5553295012196,network
PortShuffle,3657.6905605913903,3693.233250184037,35.54268959264664,application
PortShuffle,3718.131763912835,3753.4517628759313,35.31999896309617,application
CompleteTopologyShuffle,3748.2591204482605,3818.282201982771,70.02308153451031,network
HostTopologyShuffle,3839.890255243889,3899.9185925764655,60.028337332576484,network
HostTopologyShuffle,3900.5070815755635,3961.6474369642756,61.14035538871212,network
CompleteTopologyShuffle,3993.5037512836757,4063.5572578499173,70.0535065662416,network
CompleteTopologyShuffle,4085.0194645850092,4155.112457891975,70.09299330696604,network
HostTopologyShuffle,4175.67073563465,4235.728340813764,60.057605179114034,network
HostTopologyShuffle,4237.608786585249,4298.304368883645,60.6955822983964,network
IPShuffle,4328.349510327824,4378.429521166214,50.08001083839008,network
IPShuffle,4389.435438665065,4439.597390322609,50.161951657543796,network
PortShuffle,4419.436606953648,4454.469257180693,35.03265022704454,application
HostTopologyShuffle,4449.950308416505,4510.451597125817,60.501288709311666,network
PortShuffle,4480.234036512273,4515.612174678272,35.37813816599919,application
IPShuffle,4510.83231938741,4561.653863715152,50.82154432774132,network
PortShuffle,4540.9663232915245,4576.2621274145395,35.29580412301493,application
PortShuffle,4602.0007945758025,4637.152422278811,35.15162770300867,application
