name,start_time,finish_time,duration,executed_at
UserShuffle,0.0,20.29396611396881,20.29396611396881,reserve
OSDiversity,0.0,36.28310521115723,36.28310521115723,application
CompleteTopologyShuffle,0.0,50.40794683063499,50.40794683063499,network
PortShuffle,36.28310521115723,66.88080128319424,30.597696072037017,application
HostTopologyShuffle,50.40794683063499,95.51247585083536,45.10452902020037,network
ServiceDiversity,66.88080128319424,107.40588180060816,40.52508051741391,application
IPShuffle,95.51247585083536,135.81167806523393,40.299202214398576,network
UserShuffle,200.29486972450673,220.8911911771417,20.59632145263498,reserve
OSDiversity,200.29486972450673,236.0454071794371,35.75053745493037,application
CompleteTopologyShuffle,200.29486972450673,250.51488917684821,50.22001945234149,network
PortShuffle,236.0454071794371,266.36772190960113,30.322314730164038,application
HostTopologyShuffle,250.51488917684821,295.6912264500681,45.17633727321987,network
ServiceDiversity,266.36772190960113,307.15425077211626,40.78652886251513,application
IPShuffle,295.6912264500681,335.79492721692964,40.10370076686155,network
UserShuffle,400.50287916144583,420.5119310121425,20.009051850696665,reserve
OSDiversity,400.50287916144583,435.97680580943825,35.473926647992414,application
CompleteTopologyShuffle,400.50287916144583,450.6610170472145,50.15813788576867,network
PortShuffle,435.97680580943825,466.383290708089,30.406484898650774,application
HostTopologyShuffle,450.6610170472145,495.6632318667203,45.00221481950581,network
ServiceDiversity,466.383290708089,506.9124008220959,40.52911011400687,application
IPShuffle,495.6632318667203,536.2500847418121,40.58685287509178,network
UserShuffle,600.9686148021788,622.0033927749286,21.034777972749794,reserve
OSDiversity,600.9686148021788,637.0364286140735,36.06781381189478,application
CompleteTopologyShuffle,600.9686148021788,651.2517551653862,50.283140363207394,network
PortShuffle,637.0364286140735,667.3162876678424,30.27985905376886,application
HostTopologyShuffle,651.2517551653862,696.3511069196989,45.09935175431269,network
ServiceDiversity,667.3162876678424,708.5005835014581,41.18429583361569,application
IPShuffle,696.3511069196989,736.6469191269316,40.29581220723276,network
UserShuffle,802.6374502493666,822.701006632056,20.0635563826894,reserve
OSDiversity,802.6374502493666,840.0811735152813,37.44372326591474,application
CompleteTopologyShuffle,802.6374502493666,852.9955308126155,50.358080563248905,network
PortShuffle,840.0811735152813,870.158605649182,30.077432133900743,application
HostTopologyShuffle,852.9955308126155,898.4238790974317,45.42834828481625,network
ServiceDiversity,870.158605649182,911.2120046444228,41.05339899524074,application
IPShuffle,898.4238790974317,938.6902132954295,40.26633419799782,network
UserShuffle,1003.123096455107,1023.63932258522,20.51622613011307,reserve
OSDiversity,1003.123096455107,1038.2105821221655,35.08748566705856,application
CompleteTopologyShuffle,1003.123096455107,1053.5737056795829,50.4506092244759,network
PortShuffle,1038.2105821221655,1072.3244316708335,34.113849548667986,application
HostTopologyShuffle,1053.5737056795829,1098.8116445746216,45.237938895038724,network
