name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
BRUTE_FORCE,1580.7738089769837,1585.2233280982377,4.44951912125407,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,4,31,0,[],application,PortShuffle
SCAN_PORT,1587.2233280982377,1607.2233280982377,20.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,4,31,0,[],None,None
EXPLOIT_VULN,1607.2233280982377,1633.4207261970332,26.197398098795475,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,4,31,0,[],None,None
BRUTE_FORCE,1633.4207261970332,1648.4207261970332,15.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,4,31,0,[],None,None
ENUM_HOST,1648.4207261970332,1663.4207261970332,15.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,4,31,0,[],None,None
SCAN_PORT,1663.4207261970332,1683.4207261970332,20.0,3,aebe5f4b-cf10-49c0-85b5-5ea8f0d42612,None,None,1,31,0,[],None,None
EXPLOIT_VULN,1683.4207261970332,1685.7492559870655,2.328529790032235,3,aebe5f4b-cf10-49c0-85b5-5ea8f0d42612,None,None,1,31,0,[],network,IPShuffle
SCAN_HOST,1687.7492559870655,1697.7492559870655,10.0,-1,-1,None,None,0,31,0,[],None,None
ENUM_HOST,1697.7492559870655,1712.7492559870655,15.0,-1,-1,None,None,0,31,0,[],None,None
SCAN_PORT,1712.7492559870655,1732.7492559870655,20.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,5,31,0,[],None,None
EXPLOIT_VULN,1732.7492559870655,1751.802231899736,19.05297591267049,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,5,31,0,[],network,HostTopologyShuffle
SCAN_HOST,1753.802231899736,1763.802231899736,10.0,-1,-1,None,None,0,31,0,[],None,None
ENUM_HOST,1763.802231899736,1778.802231899736,15.0,-1,-1,None,None,0,31,0,[],None,None
SCAN_PORT,1778.802231899736,1798.802231899736,20.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,6,31,0,[],None,None
EXPLOIT_VULN,1798.802231899736,1812.7555491301212,13.95331723038521,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,6,31,0,[],network,HostTopologyShuffle
SCAN_HOST,1814.7555491301212,1824.7555491301212,10.0,-1,-1,None,None,0,31,0,[],None,None
ENUM_HOST,1824.7555491301212,1839.7555491301212,15.0,-1,-1,None,None,0,31,0,[],None,None
