name,start_time,finish_time,duration,executed_at
IPShuffle,0.0,50.36091147009777,50.36091147009777,network
IPShuffle,61.827047036157495,111.97871153539029,50.151664499232794,network
osdiversity,92.24089957610927,122.50846047540749,30.267560899298218,application
HostTopologyShuffle,123.22120071708054,184.17269347193798,60.95149275485744,network
IPShuffle,216.14416952363518,266.556901710022,50.41273218638679,network
HostTopologyShuffle,276.52206352830996,336.7756171490015,60.25355362069155,network
IPShuffle,337.43811905554,388.33985445508245,50.90173539954242,network
PortShuffle,367.4823358900647,403.17748281678547,35.69514692672078,application
PortShuffle,428.37880628147417,463.5362672691228,35.15746098764862,application
PortShuffle,488.9983046383087,524.2048181268923,35.206513488583596,application
PortShuffle,551.8957174438084,587.4541893207546,35.558471876946214,application
osdiversity,612.4649652723372,642.5889457216102,30.123980449273063,application
HostTopologyShuffle,644.2202069214036,704.6701623998516,60.44995547844803,network
PortShuffle,674.7955494914992,709.8564385916626,35.06088910016342,application
PortShuffle,735.2960137418296,770.4566055381299,35.16059179630031,application
PortShuffle,795.9972800767924,831.3400192399445,35.34273916315203,application
HostTopologyShuffle,826.0512558557447,886.0653553534712,60.014099497726534,network
HostTopologyShuffle,888.2198998944019,948.2482382114385,60.02833831703663,network
