name,start_time,finish_time,duration,executed_at
UserShuffle,0.0,20.041392103454918,20.041392103454918,reserve
OSDiversity,30.711491844565217,66.25379659778133,35.542304753216115,application
PortShuffle,93.07773490841143,123.69559878335518,30.61786387494375,application
IPShuffle,123.27756356522781,163.9209035881621,40.6433400229343,network
ServiceDiversity,153.46965582109434,193.7758634688803,40.30620764778595,application
HostTopologyShuffle,184.41762618163392,229.75250979529338,45.33488361365946,network
ServiceDiversity,214.45992720204956,254.47865094184502,40.01872373979546,application
IPShuffle,246.0073998927503,287.30391264453937,41.296512751789066,network
OSDiversity,276.15989708070475,311.82285095248864,35.662953871783884,application
CompleteTopologyShuffle,307.0009259524348,357.4003669194363,50.39944096700151,network
CompleteTopologyShuffle,367.5702822523703,419.28880529833856,51.718523045968254,network
IPShuffle,428.2203922468825,468.94917121483786,40.72877896795535,network
IPShuffle,489.98875723956945,530.4524811576013,40.4637239180318,network
IPShuffle,550.0465641572035,590.1987810151021,40.152216857898566,network
HostTopologyShuffle,610.8007780170633,655.9004810127408,45.09970299567749,network
HostTopologyShuffle,671.9526246345763,717.3663357568394,45.41371112226307,network
IPShuffle,732.0118725604414,772.0821463117071,40.070273751265745,network
HostTopologyShuffle,793.0472643437992,839.2370247735757,46.189760429776584,network
IPShuffle,853.2177572694982,893.2386264897572,40.02086922025899,network
CompleteTopologyShuffle,913.8214060253636,963.8426807153014,50.021274689937854,network
UserShuffle,944.7205846761636,965.0015610865993,20.280976410435642,reserve
IPShuffle,975.4101686331924,1015.4228410324201,40.01267239922777,network
CompleteTopologyShuffle,1036.4839426497947,1086.7869540221677,50.30301137237302,network
PortShuffle,1066.8374024844102,1097.8055874194824,30.96818493507226,application
CompleteTopologyShuffle,1096.91894065876,1146.9646440097601,50.04570335100016,network
CompleteTopologyShuffle,1157.9081789898735,1209.082744059899,51.17456507002544,network
CompleteTopologyShuffle,1219.084802718367,1269.2616730441814,50.176870325814434,network
ServiceDiversity,1250.0284725513116,1292.1405478296829,42.11207527837132,application
CompleteTopologyShuffle,1280.748020795811,1330.9540698886624,50.206049092851345,network
CompleteTopologyShuffle,1341.1761526606429,1391.1878446077387,50.01169194709587,network
PortShuffle,1372.1063098343825,1403.6332318806942,31.52692204631171,application
HostTopologyShuffle,1402.279174259242,1447.4794925462243,45.20031828698234,network
HostTopologyShuffle,1463.334719669924,1508.7362561987538,45.401536528829865,network
OSDiversity,1494.2175979051115,1529.7413230161974,35.52372511108592,application
PortShuffle,1554.8348580573534,1585.2233280982377,30.388470040884386,application
ServiceDiversity,1615.0967510824448,1655.3694782515972,40.272727169152404,application
IPShuffle,1645.646223063748,1685.7492559870655,40.103032923317414,network
PortShuffle,1676.234344952324,1706.7101840435753,30.475839091251373,application
HostTopologyShuffle,1706.7069317772145,1751.802231899736,45.095300122521394,network
HostTopologyShuffle,1767.6492224464087,1812.7555491301212,45.106326683712496,network
UserShuffle,1798.2639977430856,1818.382160512257,20.118162769171477,reserve
PortShuffle,1828.7724952171707,1858.9302155077573,30.157720290586667,application
IPShuffle,1859.1204052763223,1899.1220416166832,40.00163634036085,network
PortShuffle,1890.241712864269,1920.5947117234869,30.352998859217905,application
PortShuffle,1950.784548831848,1980.8283450474921,30.04379621564408,application
UserShuffle,1980.91290568098,2001.2703876318149,20.35748195083488,reserve
PortShuffle,2011.2072892256926,2041.5425261380497,30.335236912357004,application
ServiceDiversity,2073.7500713348404,2114.280016384961,40.52994505012066,application
OSDiversity,2133.95419699872,2169.4109604872833,35.45676348856341,application
PortShuffle,2195.339138837,2226.0932964260187,30.754157589018632,application
PortShuffle,2255.5152075884107,2285.556466965387,30.041259376976086,application
IPShuffle,2285.5597441088157,2326.031842128127,40.47209801931149,network
HostTopologyShuffle,2345.938959306033,2391.221577299314,45.28261799328084,network
UserShuffle,2376.575818188777,2396.844480047136,20.268661858359337,reserve
ServiceDiversity,2407.913031652751,2448.7153845047283,40.80235285197705,application
ServiceDiversity,2468.642950481041,2508.795015786527,40.15206530548585,application
PortShuffle,2530.4547910672045,2560.5915109959255,30.13671992872105,application
HostTopologyShuffle,2561.2639805915414,2606.322972819975,45.05899222843345,network
UserShuffle,2591.5517982534984,2612.170793437612,20.618995184113373,reserve
HostTopologyShuffle,2622.261209424757,2667.7033800877866,45.44217066302963,network
OSDiversity,2653.039948187911,2688.184085800565,35.14413761265405,application
HostTopologyShuffle,2684.61741496446,2729.8689653107517,45.25155034629188,network
ServiceDiversity,2714.662509610582,2754.668067951954,40.00555834137185,application
OSDiversity,2775.390272515841,2810.4609194849445,35.070646969103564,application
PortShuffle,2835.608504359343,2865.7776030992413,30.169098739898345,application
OSDiversity,2867.968026406974,2904.7234986011854,36.75547219421151,application
CompleteTopologyShuffle,2898.288502129056,2948.560805690358,50.272303561302124,network
HostTopologyShuffle,2960.350559875303,3005.493074258487,45.14251438318388,network
HostTopologyShuffle,3020.6648135690057,3066.809692114096,46.14487854509025,network
ServiceDiversity,3050.871748541055,3091.5854620207742,40.713713479719445,application
ServiceDiversity,3113.969499291101,3154.1803720982007,40.210872807099804,application
OSDiversity,3174.184332555475,3211.0121043753243,36.827771819849204,application
IPShuffle,3204.2057232641696,3244.2953769732094,40.089653709039794,network
IPShuffle,3264.9591089689025,3305.2929981776465,40.33388920874404,network
CompleteTopologyShuffle,3325.4416351246837,3375.455213534237,50.01357840955325,network
IPShuffle,3385.899012524817,3426.316935006647,40.41792248182992,network
IPShuffle,3447.473661804331,3487.6833247098198,40.209662905488585,network
