Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,Mean Time to Compromise (s)
OSDiversity,0.7,100,50,5774.774007722461
OSDiversity,0.8,100,50,6249.340966821616
OSDiversity,0.1,100,70,1879.8171947646545
OSDiversity,0.2,100,70,2985.3696274707963
OSDiversity,0.3,100,70,3647.3074148516366
OSDiversity,0.4,100,70,4331.140171024797
OSDiversity,0.5,100,70,4947.732643931153
OSDiversity,0.6,100,70,5618.501825149807
OSDiversity,0.7,100,70,6304.842853639118
OSDiversity,0.8,100,70,7106.5595886504525
OSDiversity,0.1,100,90,3143.234782757813
OSDiversity,0.2,100,90,4202.792030576986
OSDiversity,0.3,100,90,5080.201507659634
OSDiversity,0.4,100,90,5672.399536004223
OSDiversity,0.5,100,90,6122.32768904669
OSDiversity,0.6,100,90,6600.288949419955
OSDiversity,0.7,100,90,7035.758975411637
OSDiversity,0.8,100,90,7631.55215705393
PortShuffle,0.1,100,30,2901.204426790464
PortShuffle,0.2,100,30,3377.4534200164626
PortShuffle,0.3,100,30,3833.104468661776
PortShuffle,0.4,100,30,4185.367408309574
PortShuffle,0.5,100,30,4801.777741981936
PortShuffle,0.6,100,30,5209.828878173991
PortShuffle,0.7,100,30,5803.206050595792
PortShuffle,0.8,100,30,6300.717556312792
PortShuffle,0.1,100,50,1964.8194150148695
PortShuffle,0.2,100,50,2840.65458429929
PortShuffle,0.3,100,50,3765.683930350635
PortShuffle,0.4,100,50,4265.318363533368
PortShuffle,0.5,100,50,4809.44599746009
PortShuffle,0.6,100,50,5332.877927065759
PortShuffle,0.7,100,50,5838.57805942972
PortShuffle,0.8,100,50,6287.506310388393
PortShuffle,0.1,100,70,2154.861808517419
PortShuffle,0.2,100,70,3199.3538211827854
PortShuffle,0.3,100,70,4068.4978732777527
PortShuffle,0.4,100,70,4783.598758696442
PortShuffle,0.5,100,70,5400.5678722827
PortShuffle,0.6,100,70,5926.36326439716
PortShuffle,0.7,100,70,6386.247635814031
PortShuffle,0.8,100,70,7126.3140143641185
PortShuffle,0.1,100,90,2989.6532306910854
PortShuffle,0.2,100,90,4269.125317217335
PortShuffle,0.3,100,90,5060.238091431535
PortShuffle,0.4,100,90,5656.872524155571
PortShuffle,0.5,100,90,6042.418467073762
PortShuffle,0.6,100,90,6444.127039318553
PortShuffle,0.7,100,90,6877.696818820414
PortShuffle,0.8,100,90,7510.435361396914
ServiceDiversity,0.1,100,30,2495.511270361195
ServiceDiversity,0.2,100,30,3540.270588057928
ServiceDiversity,0.3,100,30,4341.310489073961
ServiceDiversity,0.4,100,30,4683.912336793002
ServiceDiversity,0.5,100,30,5068.286739666395
ServiceDiversity,0.6,100,30,5562.896937158623
ServiceDiversity,0.7,100,30,5940.71353233746
ServiceDiversity,0.8,100,30,6483.101652011837
ServiceDiversity,0.1,100,50,1685.7803743962972
ServiceDiversity,0.2,100,50,2603.341739848192
ServiceDiversity,0.3,100,50,3433.3186050744443
ServiceDiversity,0.4,100,50,4353.605791733242
ServiceDiversity,0.5,100,50,4903.313266327403
ServiceDiversity,0.6,100,50,5393.424847218005
ServiceDiversity,0.7,100,50,5767.426726681016
ServiceDiversity,0.8,100,50,6323.607353479753
ServiceDiversity,0.1,100,70,2023.952796643282
ServiceDiversity,0.2,100,70,2879.9208820076246
ServiceDiversity,0.3,100,70,3794.2397075549184
ServiceDiversity,0.4,100,70,4475.424529665928
ServiceDiversity,0.5,100,70,5018.13934696762
ServiceDiversity,0.6,100,70,5595.092236039831
ServiceDiversity,0.7,100,70,6304.609464802228
ServiceDiversity,0.8,100,70,7053.408581468793
ServiceDiversity,0.1,100,90,2960.2635999492186
ServiceDiversity,0.2,100,90,4391.473275618222
ServiceDiversity,0.3,100,90,5073.086561262588
ServiceDiversity,0.4,100,90,5662.909810016978
ServiceDiversity,0.5,100,90,6184.011575204028
ServiceDiversity,0.6,100,90,6623.095516159416
ServiceDiversity,0.7,100,90,6981.207532672076
ServiceDiversity,0.8,100,90,7593.7920918903665
