Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
"('DAP_OSDiversity_2',)",0.1,200,20,0.005066192475041103,0.13333333333333333,1904.9502050658775
"('DAP_OSDiversity_2',)",0.2,200,20,0.005066192475041103,0.14814814814814814,3756.400090969256
"('DAP_OSDiversity_2',)",0.3,200,20,0.005066192475041103,0.15789473684210525,5368.096952117245
"('DAP_OSDiversity_2',)",0.4,200,20,0.005066192475041103,0.18604651162790697,5726.940954344634
"('DAP_OSDiversity_2',)",0.5,200,20,0.005066192475041103,0.2222222222222222,5792.8836318891235
"('DAP_OSDiversity_2',)",0.6,200,20,0.005066192475041103,0.25,5954.234200763411
"('DAP_OSDiversity_2',)",0.7,200,20,0.005066192475041103,0.25925925925925924,6504.691200535943
"('DAP_OSDiversity_2',)",0.8,200,20,0.005066192475041103,0.25806451612903225,7686.129526801933
"('DAP_OSDiversity_3',)",0.1,200,20,0.005059083196102022,0.125,1932.4283272621792
"('DAP_OSDiversity_3',)",0.2,200,20,0.005059083196102022,0.16,2948.6471711779004
"('DAP_OSDiversity_3',)",0.3,200,20,0.005059083196102022,0.16666666666666666,4613.593037797233
"('DAP_OSDiversity_3',)",0.4,200,20,0.005059083196102022,0.19047619047619047,5472.562227036191
"('DAP_OSDiversity_3',)",0.5,200,20,0.005059083196102022,0.20833333333333334,6209.19383600952
"('DAP_OSDiversity_3',)",0.6,200,20,0.005059083196102022,0.23076923076923078,6377.686192582364
"('DAP_OSDiversity_3',)",0.7,200,20,0.005059083196102022,0.25,6665.469762176656
"('DAP_OSDiversity_3',)",0.8,200,20,0.005059083196102022,0.25,7681.175963551373
"('DAP_OSDiversity_4',)",0.1,200,20,0.005051049185738854,0.125,2080.1812228277486
"('DAP_OSDiversity_4',)",0.2,200,20,0.005051049185738854,0.14814814814814814,3288.5846173154323
"('DAP_OSDiversity_4',)",0.3,200,20,0.005051049185738854,0.14634146341463414,5749.73339658088
"('DAP_OSDiversity_4',)",0.4,200,20,0.005051049185738854,0.1702127659574468,6680.958610861796
"('DAP_OSDiversity_4',)",0.5,200,20,0.005051049185738854,0.19230769230769232,7086.687248598192
"('DAP_OSDiversity_4',)",0.6,200,20,0.005051049185738854,0.21818181818181817,7167.436716699742
"('DAP_OSDiversity_4',)",0.7,200,20,0.005051049185738854,0.23333333333333334,7557.308337653754
"('DAP_OSDiversity_4',)",0.8,200,20,0.005051049185738854,0.22857142857142856,8905.624862259327
