Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
NoMTD,0.1,100,25,0.0,0.44652777777777775,532.7765142711505
NoMTD,0.2,100,25,0.0,0.531517094017094,1047.5022509870932
NoMTD,0.3,100,25,0.0,0.6283091908091907,1411.4636025886036
NoMTD,0.4,100,25,0.0,0.6404673542831437,1808.295199942369
NoMTD,0.5,100,25,0.0,0.6604880488878166,2082.9046888583307
NoMTD,0.6,100,25,0.0,0.6501725448464579,2445.448807126392
NoMTD,0.7,100,25,0.0,0.6665407112250827,2626.1850476419313
NoMTD,0.8,100,25,0.0,0.1849226290882408,9043.24042094641
NoMTD,0.1,100,50,0.0,0.5444444444444444,1297.6132577160156
NoMTD,0.2,100,50,0.0,0.6423319327731093,1965.6338614214437
NoMTD,0.3,100,50,0.0,0.695412196499153,2488.814145817041
NoMTD,0.4,100,50,0.0,0.7499226699226699,2821.522164264905
NoMTD,0.5,100,50,0.0,0.7798007949514117,3161.5779744425668
NoMTD,0.6,100,50,0.0,0.7941970310391364,3538.535632338285
NoMTD,0.7,100,50,0.0,0.8030244303500117,3819.4027291979537
NoMTD,0.8,100,50,0.0,0.8181632653061225,4137.79471275306
NoMTD,0.1,100,75,0.0,0.6872377622377621,1421.8378515521115
NoMTD,0.2,100,75,0.0,0.7832706766917295,2189.3396990014166
NoMTD,0.3,100,75,0.0,0.8404304029304029,2780.3052226595196
NoMTD,0.4,100,75,0.0,0.8342467854851755,3411.7550726030922
NoMTD,0.5,100,75,0.0,0.8455864191995168,3923.834896512639
NoMTD,0.6,100,75,0.0,0.8495549104983068,4438.928275735209
NoMTD,0.7,100,75,0.0,0.875399233705269,4765.32642247074
NoMTD,0.8,100,75,0.0,0.8764176503726834,5241.637276537481
NoMTD,0.1,100,100,0.0,0.771978021978022,1721.947983485178
NoMTD,0.2,100,100,0.0,0.8224525072351158,2973.6734270361876
NoMTD,0.3,100,100,0.0,0.8035657730190362,4008.3272142274654
NoMTD,0.4,100,100,0.0,0.8075186128094274,4839.086410262667
NoMTD,0.5,100,100,0.0,0.7986048503144287,5462.214821975707
NoMTD,0.6,100,100,0.0,0.16915554422496965,21188.760138893056
NoMTD,0.7,100,100,0.0,0.19138992143573327,21647.06434461579
NoMTD,0.8,100,100,0.0,0.2121671563067395,22093.68200817067
NoMTD,0.1,200,25,0.0,0.4718253968253968,511.92120469250074
NoMTD,0.2,200,25,0.0,0.5456224331224331,1036.8076425281604
NoMTD,0.3,200,25,0.0,0.6227002164502164,1457.426226561041
NoMTD,0.4,200,25,0.0,0.625282947186972,1901.2510244333112
