Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
random,0.1,100,25,0.00797928557908455,0.25734404484404483,600.1775220443392
random,0.2,100,25,0.00797928557908455,0.2550171748541314,1324.4543366564396
random,0.3,100,25,0.00797928557908455,0.30049010658407344,1625.0970925818706
random,0.4,100,25,0.00797928557908455,0.17928732418135726,3482.4334655411985
random,0.5,100,25,0.00797928557908455,0.14070620567220665,5083.56577766822
random,0.6,100,25,0.00797928557908455,0.08663681156747349,10278.972440314537
random,0.7,100,25,0.00797928557908455,0.09165739133466201,11969.991376980925
random,0.8,100,25,0.00797928557908455,0.09928369191069433,12389.459557955257
random,0.1,100,50,0.008040523907409712,0.18079737132028423,2216.721012529494
random,0.2,100,50,0.008040523907409712,0.24559712365017217,2941.95694115734
random,0.3,100,50,0.008040523907409712,0.25965854416116074,3951.72535494925
random,0.4,100,50,0.008040523907409712,0.2670790021184722,4916.039909183353
random,0.5,100,50,0.008040523907409712,0.26498289904029093,5794.44502725586
random,0.6,100,50,0.008040523907409712,0.2666397784062068,6500.437053600157
random,0.7,100,50,0.008040523907409712,0.2662088486863768,7187.162189382891
random,0.8,100,50,0.008040523907409712,0.2273468758152779,9398.270863258873
random,0.1,100,75,0.007919366432464632,0.17183157699573567,3252.2157184342695
random,0.2,100,75,0.007919366432464632,0.07129436183168948,14563.628136094674
random,0.3,100,75,0.007919366432464632,0.09563256315774388,15533.722132112545
random,0.4,100,75,0.007919366432464632,0.11528342068457034,16322.663857798601
random,0.5,100,75,0.007919366432464632,0.1296676422932334,17005.668355208523
random,0.6,100,75,0.007919366432464632,0.11272202580346909,22276.750458746035
random,0.7,100,75,0.007919366432464632,0.12266265103315463,23473.16825455419
random,0.8,100,75,0.007919366432464632,0.1294359343753558,25292.14811921968
random,0.1,100,100,0.007861949922444565,0.2636850725260735,2830.0564815114185
random,0.2,100,100,0.007861949922444565,0.2901139622172491,5034.877699179533
random,0.3,100,100,0.007861949922444565,0.30819479170694236,6338.053465464144
random,0.4,100,100,0.007861949922444565,0.12154321868885883,19531.052575131605
random,0.5,100,100,0.007861949922444565,0.09310208929955426,28700.213894119246
random,0.6,100,100,0.007861949922444565,0.08006663069106826,36621.754560761256
random,0.7,100,100,0.007861949922444565,0.09112334093671995,37180.15182369916
random,0.8,100,100,0.007861949922444565,0.10174298046159055,37705.065386780145
random,0.1,200,25,0.00504622980855716,0.2974206349206349,593.2664857953927
random,0.2,200,25,0.00504622980855716,0.3147400393723923,1254.7628766013268
random,0.3,200,25,0.00504622980855716,0.3514589783281733,1756.617504525547
random,0.4,200,25,0.00504622980855716,0.31156999917308853,2663.7252903947506
random,0.5,200,25,0.00504622980855716,0.2964455473319424,3348.4633104823806
random,0.6,200,25,0.00504622980855716,0.24321311775698423,4389.56891325879
random,0.7,200,25,0.00504622980855716,0.24674724306507168,4888.539579604176
random,0.8,200,25,0.00504622980855716,0.14085171337197416,9994.736142378335
random,0.1,200,50,0.005071495712400921,0.3088657966560443,1667.2192401538264
random,0.2,200,50,0.005071495712400921,0.37644103883234314,2468.6388815728146
random,0.3,200,50,0.005071495712400921,0.3973014867477979,3300.408051334119
random,0.4,200,50,0.005071495712400921,0.4156655983205474,3951.6312500907925
random,0.5,200,50,0.005071495712400921,0.4252259775443291,4496.736587076004
random,0.6,200,50,0.005071495712400921,0.43830741548408386,4917.080807307596
random,0.7,200,50,0.005071495712400921,0.446874354810945,5286.828305244692
random,0.8,200,50,0.005071495712400921,0.4428081516074684,5778.269049503646
random,0.1,200,75,0.005031298956321215,0.29492278481971135,2663.316278235594
random,0.2,200,75,0.005031298956321215,0.24117098991648883,4643.965007239872
random,0.3,200,75,0.005031298956321215,0.2989886828375231,5422.81841529988
random,0.4,200,75,0.005031298956321215,0.3384466845352342,6129.468122681179
random,0.5,200,75,0.005031298956321215,0.36272832641307656,6680.599923196892
random,0.6,200,75,0.005031298956321215,0.330041345318232,8174.426723251289
random,0.7,200,75,0.005031298956321215,0.31108603474508434,10046.690676008457
random,0.8,200,75,0.005031298956321215,0.3115292463605227,11085.19459595385
random,0.1,200,100,0.005005201131866133,0.40380351033274564,2458.6335408000887
random,0.2,200,100,0.005005201131866133,0.45388732392189235,4179.609731852487
random,0.3,200,100,0.005005201131866133,0.4862291716304144,5171.684167005993
random,0.4,200,100,0.005005201131866133,0.37966846129418685,7780.600543925258
random,0.5,200,100,0.005005201131866133,0.20480018626252586,13888.459223212378
random,0.6,200,100,0.005005201131866133,0.11650952167252382,26908.4134248726
random,0.7,200,100,0.005005201131866133,0.1314752912048049,27445.18290347287
random,0.8,200,100,0.005005201131866133,0.14497725597784045,28039.41687294279
alternative,0.1,100,25,0.007968749514800564,0.2477029914529915,648.7632061694042
alternative,0.2,100,25,0.007968749514800564,0.22550108199085184,1443.977916301644
alternative,0.3,100,25,0.007968749514800564,0.26907328184267837,1791.3224444040134
alternative,0.4,100,25,0.007968749514800564,0.17826459186343804,3553.9921331020514
