Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
random,0.1,200,20,0.005046398539973846,0.13333333333333333,1743.9070599250567
random,0.2,200,20,0.005046398539973846,0.21052631578947367,2065.884969616908
random,0.3,200,20,0.005046398539973846,0.2727272727272727,2217.5300098831553
random,0.4,200,20,0.005046398539973846,0.20512820512820512,4084.091651068613
random,0.5,200,20,0.005046398539973846,0.21739130434782608,4531.388312846201
random,0.6,200,20,0.005046398539973846,0.2,5912.483006178763
random,0.7,200,20,0.005046398539973846,0.2028985507246377,6689.604170094386
random,0.8,200,20,0.005046398539973846,0.17204301075268819,8757.177252030498
alternative,0.1,200,20,0.0050605116164680955,0.13333333333333333,1995.7097221432387
alternative,0.2,200,20,0.0050605116164680955,0.13793103448275862,3609.8916154961225
alternative,0.3,200,20,0.0050605116164680955,0.17647058823529413,4160.519293164881
alternative,0.4,200,20,0.0050605116164680955,0.20512820512820512,4464.735075204148
alternative,0.5,200,20,0.0050605116164680955,0.2222222222222222,5179.930825807761
alternative,0.6,200,20,0.0050605116164680955,0.24,5583.968325138129
alternative,0.7,200,20,0.0050605116164680955,0.23728813559322035,6476.264473552163
alternative,0.8,200,20,0.0050605116164680955,0.24615384615384617,6946.051459851299
simultaneous,0.1,200,20,0.013446900530633852,0.038461538461538464,2943.555242388832
simultaneous,0.2,200,20,0.013446900530633852,0.06349206349206349,3583.6161248824683
simultaneous,0.3,200,20,0.013446900530633852,0.06818181818181818,4730.475660930097
simultaneous,0.4,200,20,0.013446900530633852,0.0784313725490196,5212.315784918724
simultaneous,0.5,200,20,0.013446900530633852,0.07246376811594203,6535.593115761671
simultaneous,0.6,200,20,0.013446900530633852,0.06,9456.779881622026
simultaneous,0.7,200,20,0.013446900530633852,0.06140350877192982,10438.900770180626
simultaneous,0.8,200,20,0.013446900530633852,0.06956521739130435,10552.570324029417
