Name,MTD Interval,Mean Time to Compromise,MTD Execution Frequency,Attack Success Rate,Compromised Num
NoMTD,100,49.26258445556552,0.0,0.8169430440965447,99.25
NoMTD,150,49.35813745325923,0.0,0.8138893532084689,99.25
NoMTD,200,49.79937835360179,0.0,0.8100125027742605,99.15
NoMTD,300,49.6999664685636,0.0,0.8053092599896121,99.1
CompleteTopologyShuffle,100,75.87104975427387,0.005088213835008036,0.526071841064663,63.1
CompleteTopologyShuffle,150,93.23602870421355,0.006672171346557769,0.4133245788171031,48.65
CompleteTopologyShuffle,200,91.97831505786714,0.005032757697774485,0.4576030594846644,56.6
CompleteTopologyShuffle,300,81.6427813658466,0.003392449540116262,0.49297983492296904,63.7
IPShuffle,100,92.00624873368335,0.0067383992860080635,0.42138052002148696,50.0
IPShuffle,150,96.30802482287545,0.006678479442630371,0.3998546930682475,47.5
IPShuffle,200,110.93757362272444,0.005037861940104418,0.35466366128598026,47.55
IPShuffle,300,88.09991066523621,0.0033965615050831595,0.4550717550482468,60.15
OSDiversity,100,76.4433770032297,0.009981432570006072,0.5295364595136436,68.8
OSDiversity,150,54.268497851605545,0.006698607727093658,0.707490695936029,89.65
OSDiversity,200,51.11422395775073,0.005053372672867237,0.7577387641427554,94.85
OSDiversity,300,48.56271706074104,0.0034048058093717796,0.7947436332751876,99.05
PortShuffle,100,72.27362605585813,0.00999947398337528,0.5490834040139079,71.7
PortShuffle,150,53.1912885037936,0.006710358815434613,0.7260044407918614,91.4
PortShuffle,200,50.51671378365629,0.00506393454098932,0.7605730657880615,95.2
PortShuffle,300,48.736451401705175,0.003411474498014543,0.8004748565048327,98.75
ServiceDiversity,100,73.87734061693588,0.009988981730775632,0.5369286407059515,70.5
ServiceDiversity,150,54.188527166528296,0.0067042187647426725,0.7065920663399192,89.75
ServiceDiversity,200,50.42461107547233,0.005057379697129281,0.7603900384315658,95.5
ServiceDiversity,300,48.74463314331071,0.0034077778972456244,0.7949640979584676,98.65
