Name,Time,MTD Interval,Mean Time to Compromise
NoMTD,999.7156559081926,100,95.13617859443005
NoMTD,1999.4313118163852,100,86.45897005410211
NoMTD,2999.1469677245777,100,71.05291168648384
NoMTD,3998.8626236327705,100,62.75686354783254
NoMTD,4998.578279540963,100,56.54412180136222
NoMTD,5998.2939354491555,100,52.34432889240584
NoMTD,6998.009591357349,100,48.567496444786755
NoMTD,7997.725247265541,100,46.24685597333594
NoMTD,8997.440903173734,100,44.65193003425587
NoMTD,9997.156559081926,100,49.26258445556552
NoMTD,999.6343337695096,150,90.36885480415005
NoMTD,1999.2686675390191,150,79.72645248163013
NoMTD,2998.9030013085285,150,71.6995553587349
NoMTD,3998.5373350780383,150,63.6718533865977
NoMTD,4998.171668847548,150,56.866086100022116
NoMTD,5997.806002617057,150,52.260932568860405
NoMTD,6997.440336386567,150,48.349442068017574
NoMTD,7997.0746701560765,150,45.79065497993999
NoMTD,8996.709003925585,150,44.44201803802674
NoMTD,9996.343337695096,150,49.35813745325923
NoMTD,911.8932425522704,200,88.1423514344317
NoMTD,1823.7864851045408,200,75.88157799171492
NoMTD,2735.6797276568113,200,69.78859722181346
NoMTD,3647.5729702090816,200,61.98126912770512
NoMTD,4559.466212761352,200,56.19859914044558
NoMTD,5471.359455313623,200,52.2877581966781
NoMTD,6383.2526978658925,200,48.735909198451594
NoMTD,7295.145940418163,200,46.016431504424574
NoMTD,8207.039182970433,200,44.9261568888446
NoMTD,9118.932425522704,200,49.79937835360179
NoMTD,897.9827071875383,300,97.05665483520657
NoMTD,1795.9654143750765,300,79.8365639329619
NoMTD,2693.9481215626147,300,70.87071058753054
NoMTD,3591.930828750153,300,61.83013070884586
NoMTD,4489.913535937691,300,56.43988620338898
NoMTD,5387.896243125229,300,51.42493669121742
NoMTD,6285.878950312768,300,47.930361979043596
NoMTD,7183.861657500306,300,45.65068608654799
NoMTD,8081.844364687844,300,44.485316659823944
NoMTD,8979.827071875383,300,49.6999664685636
CompleteTopologyShuffle,999.7898461625903,100,134.39226337178894
CompleteTopologyShuffle,1999.5796923251805,100,110.97242487761721
CompleteTopologyShuffle,2999.369538487771,100,91.2544491209663
CompleteTopologyShuffle,3999.159384650361,100,81.91867945826928
CompleteTopologyShuffle,4998.949230812951,100,74.37854105419025
CompleteTopologyShuffle,5998.739076975542,100,70.65358969981821
CompleteTopologyShuffle,6998.528923138132,100,69.82479920699154
CompleteTopologyShuffle,7998.318769300722,100,72.53078849395409
CompleteTopologyShuffle,8998.108615463312,100,74.33794882480596
CompleteTopologyShuffle,9997.898461625902,100,75.87104975427387
CompleteTopologyShuffle,998.8537779469077,150,246.80841504309942
CompleteTopologyShuffle,1997.7075558938154,150,170.6657876222032
CompleteTopologyShuffle,2996.561333840723,150,127.43086377145816
CompleteTopologyShuffle,3995.415111787631,150,105.81259314613291
CompleteTopologyShuffle,4994.268889734539,150,100.41007558651596
CompleteTopologyShuffle,5993.122667681446,150,85.62267737920916
CompleteTopologyShuffle,6991.976445628354,150,79.63854150574471
CompleteTopologyShuffle,7990.830223575262,150,81.4402529560103
CompleteTopologyShuffle,8989.68400152217,150,86.54278478316402
CompleteTopologyShuffle,9988.537779469078,150,93.23602870421355
